कंप्यूटरगेम	कंप्यूटर+गेम
सचजानने	सच+जानने
ज्यादालिखा	ज्यादा+लिखा
नकलीबताकर	नकली+बताकर
उदासबैठे	उदास+बैठे
सूक्ष्मबनाती	सूक्ष्म+बनाती
मांगलिकहोती	मांगलिक+होती
जुड़ाहोता	जुड़ा+होता
अधीनचला	अधीन+चला
अलगमानते	अलग+मानते
छहबरस	छह+बरस
हास्यलिये	हास्य+लिये
एकाग्रचित्तहोकर	एकाग्रचित्त+होकर
शानदारमानी	शानदार+मानी
पुरातनमाना	पुरातन+माना
सर्वश्रेष्ठभाग	सर्वश्रेष्ठ+भाग
अद्वितीयरहा	अद्वितीय+रहा
विशालभाग	विशाल+भाग
जंगलीकहकर	जंगली+कहकर
पानीदारबनी	पानीदार+बनी
प्रशंसनीयसमझी	प्रशंसनीय+समझी
सम्मुखआ	सम्मुख+आ
कुछजमा	कुछ+जमा
समृद्धरहा	समृद्ध+रहा
नएभाग	नए+भाग
अडिगरहे	अडिग+रहे
कार्यकारीहो	कार्यकारी+हो
ग्यारहमाना	ग्यारह+माना
अकेलेछोड़	अकेले+छोड़
कथितहोने	कथित+होने
प्रथममाना	प्रथम+माना
ऐसालिख	ऐसा+लिख
मस्तसे	मस्त+से
महत्वपूर्णकहा	महत्वपूर्ण+कहा
